session_id,student_level,discipline,session_date,session_length_min,total_prompts,task_type,ai_assistance_level,final_outcome,used_again,satisfaction_rating
SESSION01600,Undergraduate,Engineering,2024/11/27,18,3,Homework Help,3,Assignment Completed,TRUE,4
SESSION01601,Graduate,Computer Science,2025/01/29,11,4,Writing,2,Assignment Completed,TRUE,3
SESSION01602,Undergraduate,Biology,2025/01/27,43,15,Research,4,Assignment Completed,TRUE,2.5
SESSION01603,Undergraduate,Psychology,2025/06/23,14,4,Research,4,Assignment Completed,TRUE,4.1
SESSION01604,Undergraduate,Math,2024/07/15,39,13,Writing,3,Idea Drafted,TRUE,4
SESSION01605,Undergraduate,Computer Science,2024/11/29,11,3,Homework Help,4,Assignment Completed,TRUE,4.8
SESSION01606,Undergraduate,Engineering,2025/02/20,24,6,Homework Help,3,Assignment Completed,TRUE,2.3
SESSION01607,Undergraduate,Psychology,2025/03/22,6,2,Homework Help,4,Gave Up,FALSE,2.7
SESSION01608,Undergraduate,History,2024/07/02,10,2,Studying,3,Assignment Completed,TRUE,2.8
SESSION01609,Undergraduate,Math,2025/01/26,22,6,Studying,4,Idea Drafted,FALSE,4.1
SESSION01610,Undergraduate,History,2024/12/24,10,3,Studying,3,Assignment Completed,TRUE,2.2
SESSION01611,High School,Computer Science,2024/08/23,19,5,Writing,4,Assignment Completed,TRUE,4.5
SESSION01612,Undergraduate,Biology,2024/11/25,16,4,Homework Help,3,Idea Drafted,TRUE,4
SESSION01613,Undergraduate,Computer Science,2025/02/27,2,1,Homework Help,3,Assignment Completed,TRUE,2.2
SESSION01614,Undergraduate,History,2024/08/08,7,2,Writing,2,Idea Drafted,TRUE,2.6
SESSION01615,Undergraduate,Math,2024/12/18,10,3,Writing,4,Idea Drafted,TRUE,3.6
SESSION01616,Undergraduate,Business,2025/04/16,7,2,Coding,3,Idea Drafted,TRUE,2.8
SESSION01617,Undergraduate,History,2024/12/03,64,29,Writing,4,Assignment Completed,TRUE,3.7
SESSION01618,Undergraduate,Computer Science,2025/06/05,16,3,Studying,5,Confused,FALSE,4.8
SESSION01619,High School,Math,2024/07/05,36,11,Studying,4,Confused,FALSE,3.8
SESSION01620,Undergraduate,Psychology,2025/02/28,4,1,Studying,4,Assignment Completed,TRUE,5
SESSION01621,High School,Computer Science,2024/12/12,40,9,Research,4,Gave Up,FALSE,4.9
SESSION01622,Undergraduate,Engineering,2024/08/30,34,6,Homework Help,5,Assignment Completed,TRUE,5
SESSION01623,Undergraduate,Psychology,2025/04/10,6,1,Writing,3,Assignment Completed,TRUE,3.7
SESSION01624,Undergraduate,Engineering,2024/09/15,12,2,Writing,1,Assignment Completed,TRUE,2.3
SESSION01625,Undergraduate,Biology,2024/10/22,20,5,Studying,3,Confused,FALSE,3.2
SESSION01626,High School,Business,2025/01/28,22,9,Homework Help,3,Assignment Completed,TRUE,4
SESSION01627,Undergraduate,Engineering,2025/04/01,32,11,Homework Help,3,Assignment Completed,FALSE,2.5
SESSION01628,Undergraduate,History,2024/09/20,18,4,Writing,2,Assignment Completed,TRUE,1.5
SESSION01629,Undergraduate,Business,2025/01/11,3,1,Coding,5,Assignment Completed,TRUE,5
SESSION01630,Undergraduate,Computer Science,2025/02/14,25,5,Homework Help,2,Assignment Completed,FALSE,1
SESSION01631,Undergraduate,History,2024/09/17,12,3,Studying,4,Idea Drafted,TRUE,3.8
SESSION01632,High School,History,2024/10/28,27,12,Studying,3,Idea Drafted,TRUE,3
SESSION01633,Undergraduate,Biology,2025/03/11,26,6,Homework Help,4,Confused,FALSE,5
SESSION01634,High School,Psychology,2025/03/08,11,2,Homework Help,3,Assignment Completed,TRUE,3
SESSION01635,Undergraduate,Psychology,2025/02/12,16,6,Studying,5,Assignment Completed,TRUE,4.6
SESSION01636,Undergraduate,Math,2025/06/11,10,2,Writing,2,Assignment Completed,TRUE,1.9
SESSION01637,High School,Business,2024/11/11,33,7,Writing,4,Idea Drafted,TRUE,5
SESSION01638,High School,Engineering,2025/03/03,18,4,Homework Help,3,Assignment Completed,TRUE,3.6
SESSION01639,Graduate,Business,2024/09/26,18,4,Coding,3,Assignment Completed,TRUE,4.3
SESSION01640,Undergraduate,Computer Science,2025/06/07,22,9,Studying,4,Idea Drafted,FALSE,3.6
SESSION01641,Undergraduate,Math,2025/01/12,42,10,Studying,3,Idea Drafted,TRUE,2.6
SESSION01642,Undergraduate,Computer Science,2024/08/16,21,4,Research,5,Assignment Completed,TRUE,4.1
SESSION01643,Undergraduate,Math,2025/03/06,10,4,Homework Help,4,Assignment Completed,TRUE,4.7
SESSION01644,Undergraduate,History,2025/06/07,31,8,Research,4,Confused,FALSE,3.5
SESSION01645,Undergraduate,Engineering,2025/01/27,9,2,Coding,3,Assignment Completed,TRUE,2.2
SESSION01646,Undergraduate,Business,2025/04/13,19,4,Studying,5,Idea Drafted,TRUE,4.8
SESSION01647,Undergraduate,Business,2024/06/30,24,7,Coding,4,Confused,FALSE,2.9
SESSION01648,Undergraduate,History,2025/05/14,9,2,Writing,2,Idea Drafted,TRUE,2.2
SESSION01649,Undergraduate,Math,2025/05/07,7,2,Homework Help,5,Idea Drafted,TRUE,5
SESSION01650,Graduate,History,2024/10/12,26,6,Homework Help,4,Assignment Completed,TRUE,4.1
SESSION01651,Undergraduate,Engineering,2025/05/11,12,3,Homework Help,4,Assignment Completed,FALSE,3.5
SESSION01652,Undergraduate,Psychology,2024/06/25,6,1,Homework Help,4,Assignment Completed,TRUE,2.8
SESSION01653,High School,Computer Science,2025/06/07,3,1,Coding,5,Gave Up,TRUE,5
SESSION01654,Graduate,Business,2024/11/04,12,2,Homework Help,3,Assignment Completed,TRUE,3.7
SESSION01655,Graduate,Computer Science,2024/11/29,38,8,Writing,5,Assignment Completed,FALSE,5
SESSION01656,High School,Engineering,2025/06/03,14,3,Writing,4,Assignment Completed,FALSE,2.1
SESSION01657,Graduate,History,2025/03/08,1,1,Writing,4,Confused,TRUE,4.9
SESSION01658,Undergraduate,Biology,2024/08/08,19,7,Writing,3,Assignment Completed,TRUE,3.8
SESSION01659,Undergraduate,History,2024/08/18,14,2,Homework Help,3,Confused,FALSE,3.2
SESSION01660,Undergraduate,Business,2025/06/09,12,4,Writing,3,Idea Drafted,FALSE,3.4
SESSION01661,High School,Psychology,2025/03/20,43,14,Studying,3,Confused,FALSE,1
SESSION01662,Undergraduate,Math,2025/01/29,11,2,Writing,1,Assignment Completed,FALSE,1.2
SESSION01663,Undergraduate,Business,2025/02/15,18,3,Writing,4,Assignment Completed,TRUE,3.7
SESSION01664,High School,Math,2024/12/09,12,4,Writing,4,Assignment Completed,TRUE,4.5
SESSION01665,Undergraduate,Computer Science,2024/11/03,4,1,Studying,5,Confused,TRUE,4.4
SESSION01666,Graduate,Biology,2024/07/05,13,5,Coding,3,Idea Drafted,TRUE,3.5
SESSION01667,Undergraduate,Engineering,2025/01/23,39,14,Coding,3,Confused,TRUE,2.7
SESSION01668,Graduate,Biology,2025/05/02,6,1,Homework Help,5,Assignment Completed,TRUE,4.1
SESSION01669,Graduate,Psychology,2025/05/19,14,4,Writing,4,Assignment Completed,TRUE,5
SESSION01670,High School,Math,2025/04/24,10,3,Homework Help,4,Assignment Completed,FALSE,5
SESSION01671,High School,Math,2024/08/20,26,11,Homework Help,4,Assignment Completed,TRUE,4.4
SESSION01672,Graduate,Computer Science,2024/11/28,77,16,Writing,4,Idea Drafted,TRUE,3.6
SESSION01673,Graduate,Psychology,2025/02/08,25,10,Brainstorming,4,Assignment Completed,FALSE,5
SESSION01674,Graduate,Psychology,2025/04/16,6,1,Writing,4,Idea Drafted,TRUE,4.6
SESSION01675,Graduate,History,2024/11/10,17,8,Writing,4,Assignment Completed,TRUE,3.3
SESSION01676,Graduate,Business,2025/01/21,7,1,Writing,4,Confused,TRUE,4
SESSION01677,Graduate,Engineering,2025/03/13,11,4,Research,4,Gave Up,FALSE,4.8
SESSION01678,Undergraduate,Math,2024/08/19,18,4,Writing,3,Assignment Completed,TRUE,3.4
SESSION01679,Undergraduate,Psychology,2024/12/09,14,6,Homework Help,3,Idea Drafted,FALSE,3.2
SESSION01680,Undergraduate,Biology,2025/03/07,26,9,Studying,3,Gave Up,TRUE,2.5
SESSION01681,Undergraduate,Psychology,2024/10/05,3,1,Studying,3,Assignment Completed,TRUE,2.3
SESSION01682,High School,Math,2024/07/30,27,6,Homework Help,4,Assignment Completed,TRUE,3
SESSION01683,Undergraduate,Computer Science,2025/04/24,18,4,Studying,4,Assignment Completed,TRUE,4
SESSION01684,Undergraduate,Engineering,2025/01/23,40,17,Coding,1,Idea Drafted,TRUE,1.4
SESSION01685,Undergraduate,Business,2024/11/19,31,9,Writing,3,Confused,TRUE,3.1
SESSION01686,Undergraduate,Biology,2025/02/01,29,10,Studying,3,Confused,FALSE,2.5
SESSION01687,Graduate,History,2024/11/17,8,2,Brainstorming,4,Idea Drafted,TRUE,4.9
SESSION01688,Undergraduate,Computer Science,2024/11/04,15,3,Studying,4,Idea Drafted,FALSE,5
SESSION01689,Undergraduate,Engineering,2024/11/29,33,13,Writing,5,Confused,TRUE,5
SESSION01690,High School,Business,2025/02/23,21,6,Studying,5,Confused,FALSE,4
SESSION01691,Graduate,Engineering,2024/07/22,23,4,Writing,5,Idea Drafted,FALSE,5
SESSION01692,Undergraduate,Business,2025/06/17,40,18,Studying,3,Idea Drafted,TRUE,3
SESSION01693,High School,Biology,2025/05/12,12,3,Homework Help,5,Assignment Completed,TRUE,4.6
SESSION01694,Undergraduate,Math,2024/09/16,20,6,Studying,2,Confused,TRUE,1.8
SESSION01695,Undergraduate,Psychology,2024/06/29,27,9,Studying,4,Idea Drafted,TRUE,4.8
SESSION01696,Undergraduate,Math,2025/01/28,2,1,Writing,2,Assignment Completed,TRUE,1.3
SESSION01697,Undergraduate,Business,2024/12/28,16,5,Studying,4,Assignment Completed,TRUE,3
SESSION01698,Graduate,Engineering,2025/05/04,4,1,Coding,5,Assignment Completed,TRUE,5
SESSION01699,Undergraduate,History,2024/12/06,52,11,Research,3,Idea Drafted,FALSE,3.1
SESSION01700,Graduate,History,2024/08/01,22,9,Writing,4,Assignment Completed,TRUE,4.3
SESSION01701,Graduate,Engineering,2025/03/11,41,10,Coding,3,Idea Drafted,TRUE,4.3
SESSION01702,Undergraduate,Computer Science,2025/05/12,10,2,Writing,5,Assignment Completed,FALSE,4
SESSION01703,Undergraduate,Business,2025/03/17,39,10,Writing,3,Assignment Completed,TRUE,4.3
SESSION01704,Graduate,Psychology,2025/06/01,5,1,Studying,2,Idea Drafted,TRUE,2.2
SESSION01705,Undergraduate,Psychology,2024/08/19,14,3,Coding,3,Confused,TRUE,3.3
SESSION01706,Graduate,Psychology,2025/04/17,3,1,Studying,3,Idea Drafted,FALSE,3.1
SESSION01707,Graduate,Biology,2024/09/05,19,4,Studying,3,Assignment Completed,TRUE,3.6
SESSION01708,Undergraduate,Business,2025/05/03,11,2,Homework Help,3,Assignment Completed,TRUE,2.9
SESSION01709,Graduate,Business,2025/01/15,5,1,Studying,2,Assignment Completed,TRUE,1.1
SESSION01710,Graduate,Biology,2024/10/23,34,6,Homework Help,3,Idea Drafted,TRUE,2.8
SESSION01711,Undergraduate,Engineering,2025/01/31,8,2,Writing,4,Idea Drafted,TRUE,3
SESSION01712,Graduate,Math,2024/11/01,12,2,Homework Help,1,Assignment Completed,TRUE,1
SESSION01713,Undergraduate,History,2025/06/17,22,5,Homework Help,3,Assignment Completed,FALSE,2.1
SESSION01714,High School,Business,2025/04/11,35,13,Coding,1,Assignment Completed,FALSE,2
SESSION01715,High School,Engineering,2024/08/09,10,2,Studying,2,Idea Drafted,TRUE,1.6
SESSION01716,Undergraduate,Psychology,2024/09/29,12,5,Writing,5,Idea Drafted,TRUE,5
SESSION01717,Undergraduate,Engineering,2025/05/17,21,10,Coding,4,Confused,FALSE,2.2
SESSION01718,High School,Biology,2024/09/06,27,7,Coding,3,Confused,FALSE,3.8
SESSION01719,Undergraduate,Engineering,2025/04/21,41,9,Coding,4,Confused,FALSE,4
SESSION01720,Undergraduate,Math,2024/10/05,8,2,Writing,2,Assignment Completed,TRUE,2.8
SESSION01721,Undergraduate,Psychology,2024/11/25,37,7,Writing,3,Idea Drafted,FALSE,2.2
SESSION01722,High School,Biology,2025/01/20,23,11,Writing,4,Gave Up,FALSE,5
SESSION01723,Undergraduate,Computer Science,2024/08/20,34,7,Writing,2,Idea Drafted,TRUE,1
SESSION01724,Undergraduate,Biology,2024/09/25,14,3,Studying,4,Gave Up,FALSE,3.3
SESSION01725,Graduate,History,2025/02/07,3,1,Writing,3,Assignment Completed,TRUE,2.9
SESSION01726,Undergraduate,Math,2025/04/29,19,8,Writing,3,Assignment Completed,TRUE,4.2
SESSION01727,High School,Psychology,2025/04/20,11,2,Studying,3,Idea Drafted,TRUE,4.2
SESSION01728,High School,Computer Science,2024/10/22,0,1,Brainstorming,2,Confused,FALSE,1.2
SESSION01729,Undergraduate,Business,2025/05/20,9,2,Homework Help,3,Confused,FALSE,1.6
SESSION01730,High School,Computer Science,2025/01/07,24,4,Writing,4,Assignment Completed,TRUE,2.5
SESSION01731,High School,History,2024/10/07,29,10,Research,4,Idea Drafted,TRUE,2.8
SESSION01732,Undergraduate,History,2025/02/22,19,7,Writing,3,Assignment Completed,TRUE,4
SESSION01733,Graduate,Engineering,2025/06/08,27,6,Writing,4,Idea Drafted,TRUE,4
SESSION01734,Undergraduate,History,2024/07/09,30,11,Coding,3,Assignment Completed,TRUE,2.1
SESSION01735,High School,Biology,2025/05/21,27,9,Coding,4,Idea Drafted,TRUE,2.3
SESSION01736,Undergraduate,Biology,2024/07/05,23,6,Studying,3,Assignment Completed,FALSE,3.6
SESSION01737,Graduate,History,2025/05/13,24,6,Studying,4,Assignment Completed,TRUE,3.5
SESSION01738,High School,Business,2024/08/26,6,2,Coding,4,Assignment Completed,TRUE,4.6
SESSION01739,Graduate,Math,2024/12/26,10,3,Coding,2,Assignment Completed,TRUE,2.1
SESSION01740,Undergraduate,Math,2025/04/12,10,4,Coding,2,Assignment Completed,TRUE,1.6
SESSION01741,Undergraduate,Biology,2024/09/18,2,1,Homework Help,3,Idea Drafted,TRUE,2.6
SESSION01742,Undergraduate,Psychology,2024/06/24,21,4,Homework Help,3,Confused,FALSE,2.4
SESSION01743,Graduate,Engineering,2024/06/26,8,3,Homework Help,3,Gave Up,FALSE,4
SESSION01744,High School,Psychology,2025/03/10,26,11,Studying,3,Idea Drafted,TRUE,3.5
SESSION01745,Undergraduate,Math,2025/05/20,9,2,Brainstorming,2,Idea Drafted,TRUE,2
SESSION01746,Graduate,Psychology,2025/01/09,28,5,Homework Help,2,Assignment Completed,TRUE,2.2
SESSION01747,Graduate,History,2024/12/09,22,4,Writing,2,Confused,TRUE,2.3
SESSION01748,High School,Computer Science,2025/02/12,13,3,Studying,5,Idea Drafted,TRUE,3.7
SESSION01749,Undergraduate,Computer Science,2024/11/22,2,1,Studying,3,Idea Drafted,TRUE,3.4
SESSION01750,Undergraduate,Computer Science,2025/06/11,20,4,Studying,3,Assignment Completed,TRUE,2.7
SESSION01751,High School,Math,2025/06/02,15,3,Coding,4,Assignment Completed,TRUE,5
SESSION01752,Graduate,History,2024/11/22,10,3,Studying,4,Confused,FALSE,4.5
SESSION01753,Undergraduate,Psychology,2024/07/18,22,7,Coding,2,Assignment Completed,TRUE,1
SESSION01754,Undergraduate,Biology,2024/07/15,54,26,Research,2,Idea Drafted,TRUE,2.6
SESSION01755,Undergraduate,Psychology,2024/08/08,37,8,Studying,3,Assignment Completed,TRUE,1.4
SESSION01756,Graduate,Computer Science,2025/05/13,3,1,Homework Help,4,Assignment Completed,FALSE,3.7
SESSION01757,Undergraduate,Biology,2025/04/16,16,4,Studying,4,Assignment Completed,TRUE,2.5
SESSION01758,Undergraduate,History,2024/11/21,8,2,Coding,3,Assignment Completed,TRUE,3.3
SESSION01759,Undergraduate,Engineering,2025/01/05,36,9,Brainstorming,4,Gave Up,FALSE,4
SESSION01760,High School,Biology,2024/09/10,29,7,Writing,2,Assignment Completed,TRUE,2.9
SESSION01761,Graduate,Biology,2024/07/23,27,11,Studying,2,Idea Drafted,FALSE,1
SESSION01762,Undergraduate,History,2024/07/25,3,1,Coding,4,Assignment Completed,TRUE,3.5
SESSION01763,Graduate,Engineering,2025/03/10,36,8,Studying,4,Gave Up,FALSE,5
SESSION01764,Undergraduate,Biology,2024/09/07,8,1,Studying,2,Assignment Completed,TRUE,2.3
SESSION01765,Graduate,Computer Science,2025/05/06,20,6,Writing,3,Idea Drafted,TRUE,3.6
SESSION01766,Undergraduate,Engineering,2025/02/16,15,5,Homework Help,4,Idea Drafted,TRUE,4.3
SESSION01767,Undergraduate,Business,2024/11/01,24,9,Coding,3,Assignment Completed,TRUE,3.1
SESSION01768,Graduate,Math,2025/05/09,6,2,Studying,3,Assignment Completed,TRUE,5
SESSION01769,High School,History,2025/05/09,3,1,Writing,3,Assignment Completed,FALSE,4.4
SESSION01770,Undergraduate,Psychology,2025/05/21,24,11,Homework Help,4,Assignment Completed,TRUE,4.9
SESSION01771,Graduate,Business,2024/07/03,42,12,Studying,2,Assignment Completed,TRUE,1.3
SESSION01772,Undergraduate,History,2024/07/12,5,1,Writing,5,Confused,FALSE,3.5
SESSION01773,High School,Computer Science,2024/07/19,24,10,Writing,4,Idea Drafted,TRUE,3.6
SESSION01774,Undergraduate,History,2024/11/16,39,8,Studying,4,Gave Up,TRUE,4.7
SESSION01775,Graduate,Psychology,2025/01/14,27,6,Research,3,Idea Drafted,TRUE,4.5
SESSION01776,Undergraduate,Math,2024/07/15,18,6,Writing,3,Confused,FALSE,3.9
SESSION01777,Undergraduate,History,2025/02/16,12,2,Research,5,Gave Up,FALSE,4.4
SESSION01778,High School,Engineering,2025/03/02,13,2,Writing,3,Idea Drafted,TRUE,2.4
SESSION01779,Undergraduate,Computer Science,2024/10/10,8,1,Coding,3,Assignment Completed,TRUE,5
SESSION01780,Undergraduate,Engineering,2024/07/25,5,1,Coding,4,Confused,TRUE,5
SESSION01781,Undergraduate,Computer Science,2024/10/15,17,4,Coding,4,Assignment Completed,FALSE,3.5
SESSION01782,Undergraduate,History,2025/02/23,28,11,Homework Help,4,Confused,TRUE,4.9
SESSION01783,Undergraduate,Math,2025/02/14,31,9,Writing,4,Assignment Completed,FALSE,4.1
SESSION01784,Graduate,Psychology,2024/07/22,30,10,Brainstorming,4,Assignment Completed,TRUE,5
SESSION01785,Graduate,Math,2025/05/23,36,8,Writing,4,Assignment Completed,TRUE,4.1
SESSION01786,Undergraduate,History,2025/04/06,26,9,Homework Help,5,Confused,FALSE,5
SESSION01787,Undergraduate,Math,2024/10/26,2,1,Writing,3,Idea Drafted,TRUE,2.9
SESSION01788,Undergraduate,Computer Science,2024/07/15,27,5,Homework Help,4,Assignment Completed,TRUE,3.9
SESSION01789,Graduate,Psychology,2024/12/16,25,10,Writing,5,Assignment Completed,TRUE,4
SESSION01790,Undergraduate,Math,2024/11/29,3,1,Coding,5,Assignment Completed,TRUE,5
SESSION01791,Undergraduate,Biology,2025/04/20,45,16,Coding,4,Assignment Completed,TRUE,3.6
SESSION01792,High School,Engineering,2024/08/31,11,3,Writing,5,Idea Drafted,TRUE,5
SESSION01793,Undergraduate,Engineering,2025/05/25,8,2,Homework Help,4,Confused,FALSE,3.3
SESSION01794,Undergraduate,Business,2025/02/23,26,6,Research,1,Idea Drafted,TRUE,1
SESSION01795,High School,Biology,2025/01/12,15,3,Writing,3,Assignment Completed,TRUE,4.7
SESSION01796,High School,Computer Science,2024/09/08,21,6,Writing,4,Idea Drafted,TRUE,3.8
SESSION01797,Undergraduate,Psychology,2025/05/28,17,4,Writing,5,Assignment Completed,TRUE,5
SESSION01798,High School,Math,2025/02/05,14,6,Writing,5,Assignment Completed,TRUE,5
SESSION01799,Undergraduate,Biology,2024/12/13,23,4,Homework Help,3,Idea Drafted,TRUE,4.4
SESSION01800,Undergraduate,Engineering,2025/02/28,32,13,Writing,4,Assignment Completed,FALSE,5
SESSION01801,High School,Computer Science,2024/11/30,55,11,Studying,3,Confused,TRUE,3.9
SESSION01802,Undergraduate,History,2025/02/22,51,21,Writing,5,Idea Drafted,TRUE,4.5
SESSION01803,Undergraduate,Math,2024/08/18,25,7,Writing,3,Idea Drafted,TRUE,2.2
SESSION01804,Undergraduate,Computer Science,2024/07/13,51,24,Brainstorming,4,Gave Up,FALSE,2.7
SESSION01805,Undergraduate,Computer Science,2025/04/03,5,1,Homework Help,2,Gave Up,TRUE,1
SESSION01806,High School,Business,2024/11/14,20,5,Writing,4,Assignment Completed,TRUE,3.8
SESSION01807,Undergraduate,Engineering,2024/09/17,11,4,Homework Help,2,Confused,FALSE,1.9
SESSION01808,Graduate,Math,2025/02/26,40,8,Coding,2,Assignment Completed,TRUE,3.3
SESSION01809,Undergraduate,Psychology,2024/10/10,16,3,Writing,3,Assignment Completed,FALSE,2.7
SESSION01810,Graduate,Engineering,2024/10/06,8,3,Coding,5,Assignment Completed,FALSE,5
SESSION01811,High School,Biology,2024/06/30,57,13,Writing,2,Idea Drafted,FALSE,2.3
SESSION01812,High School,Biology,2025/06/06,14,3,Writing,2,Assignment Completed,TRUE,3.4
SESSION01813,High School,History,2025/01/02,9,4,Coding,3,Assignment Completed,FALSE,2.9
SESSION01814,Undergraduate,History,2024/12/12,19,7,Coding,3,Idea Drafted,TRUE,2.3
SESSION01815,High School,Computer Science,2024/12/12,8,2,Studying,3,Assignment Completed,TRUE,3.9
SESSION01816,Graduate,Psychology,2025/02/11,39,15,Coding,3,Assignment Completed,TRUE,4.2
SESSION01817,Graduate,Engineering,2024/10/11,6,1,Writing,2,Assignment Completed,FALSE,2.8
SESSION01818,High School,Computer Science,2024/11/22,29,7,Writing,5,Idea Drafted,TRUE,5
SESSION01819,High School,Psychology,2024/08/26,6,2,Brainstorming,4,Idea Drafted,TRUE,4.4
SESSION01820,Undergraduate,Math,2024/07/16,2,1,Studying,5,Gave Up,FALSE,5
SESSION01821,Graduate,Computer Science,2025/03/28,7,1,Studying,3,Assignment Completed,TRUE,3.3
SESSION01822,Graduate,Business,2024/12/15,19,5,Writing,3,Assignment Completed,TRUE,2.4
SESSION01823,Undergraduate,Biology,2025/06/02,3,1,Writing,3,Idea Drafted,TRUE,3.5
SESSION01824,High School,Biology,2024/08/17,17,6,Writing,2,Assignment Completed,FALSE,1.8
SESSION01825,High School,History,2025/04/01,28,6,Brainstorming,3,Idea Drafted,TRUE,3.1
SESSION01826,Graduate,Psychology,2024/11/27,8,2,Coding,4,Assignment Completed,TRUE,3.4
SESSION01827,Undergraduate,Math,2025/04/16,14,4,Writing,5,Confused,FALSE,5
SESSION01828,Undergraduate,History,2025/05/25,11,5,Coding,3,Assignment Completed,TRUE,3.9
SESSION01829,Undergraduate,Engineering,2024/11/30,5,2,Writing,4,Assignment Completed,TRUE,4.7
SESSION01830,Undergraduate,Math,2025/03/11,34,14,Writing,3,Assignment Completed,TRUE,2.8
SESSION01831,Undergraduate,Computer Science,2024/08/13,41,8,Writing,3,Idea Drafted,FALSE,2.7
SESSION01832,Undergraduate,Psychology,2025/02/10,8,3,Writing,5,Assignment Completed,TRUE,4.2
SESSION01833,Undergraduate,Biology,2024/08/16,2,1,Homework Help,5,Confused,FALSE,4.9
SESSION01834,Undergraduate,Psychology,2024/11/04,14,3,Homework Help,5,Idea Drafted,TRUE,4.1
SESSION01835,High School,Math,2024/07/01,17,3,Writing,3,Idea Drafted,TRUE,2.3
SESSION01836,Graduate,Computer Science,2025/01/25,37,8,Studying,2,Assignment Completed,TRUE,1
SESSION01837,Undergraduate,Business,2025/04/30,5,1,Studying,3,Idea Drafted,TRUE,3.3
SESSION01838,Undergraduate,Business,2024/07/29,30,12,Writing,2,Assignment Completed,FALSE,1.4
SESSION01839,Graduate,Math,2025/04/09,4,1,Studying,4,Confused,FALSE,4.6
SESSION01840,Undergraduate,Psychology,2025/05/28,31,13,Studying,2,Assignment Completed,FALSE,1.5
SESSION01841,Undergraduate,History,2025/01/01,49,14,Writing,5,Idea Drafted,TRUE,5
SESSION01842,Undergraduate,Computer Science,2025/04/01,55,12,Homework Help,5,Assignment Completed,TRUE,4.2
SESSION01843,Undergraduate,Biology,2025/02/21,18,4,Homework Help,4,Gave Up,FALSE,2.6
SESSION01844,Graduate,History,2025/05/10,2,1,Writing,3,Assignment Completed,TRUE,2.6
SESSION01845,Undergraduate,Math,2024/12/25,21,6,Studying,1,Assignment Completed,TRUE,1
SESSION01846,High School,Biology,2025/06/17,21,7,Studying,4,Assignment Completed,TRUE,3.8
SESSION01847,High School,History,2024/11/20,1,1,Writing,4,Idea Drafted,TRUE,5
SESSION01848,Graduate,Biology,2025/06/17,10,1,Homework Help,5,Assignment Completed,TRUE,4.8
SESSION01849,Graduate,Business,2024/07/12,20,9,Studying,2,Assignment Completed,TRUE,2.6
SESSION01850,Undergraduate,Computer Science,2024/08/25,54,13,Brainstorming,4,Idea Drafted,TRUE,4.2
SESSION01851,Undergraduate,Biology,2025/01/29,29,7,Coding,5,Confused,TRUE,4.9
SESSION01852,High School,Computer Science,2025/03/22,45,12,Coding,3,Idea Drafted,TRUE,1.8
SESSION01853,Graduate,History,2025/06/21,33,12,Writing,3,Assignment Completed,TRUE,2.4
SESSION01854,High School,History,2025/02/12,28,7,Writing,4,Idea Drafted,TRUE,3.9
SESSION01855,Graduate,Biology,2024/07/19,30,6,Homework Help,3,Gave Up,FALSE,2.8
SESSION01856,Graduate,Engineering,2025/04/18,7,1,Coding,4,Assignment Completed,TRUE,4.4
SESSION01857,Undergraduate,Math,2025/04/22,1,1,Writing,4,Assignment Completed,FALSE,4.3
SESSION01858,Undergraduate,Business,2024/10/04,14,3,Homework Help,4,Idea Drafted,TRUE,5
SESSION01859,High School,Biology,2024/07/02,3,1,Studying,5,Assignment Completed,TRUE,5
SESSION01860,Undergraduate,Computer Science,2024/11/25,16,5,Studying,3,Assignment Completed,TRUE,3.8
SESSION01861,Graduate,Biology,2025/06/22,13,3,Writing,3,Assignment Completed,TRUE,4
SESSION01862,Undergraduate,Math,2025/01/13,20,8,Writing,3,Assignment Completed,TRUE,3
SESSION01863,Undergraduate,Psychology,2025/03/13,9,2,Homework Help,1,Assignment Completed,TRUE,1
SESSION01864,Graduate,Computer Science,2025/01/17,40,10,Coding,3,Gave Up,FALSE,2.5
SESSION01865,Undergraduate,History,2024/10/04,32,15,Coding,2,Assignment Completed,TRUE,2.2
SESSION01866,Undergraduate,Biology,2024/07/20,15,3,Writing,4,Idea Drafted,FALSE,5
SESSION01867,Graduate,Computer Science,2024/09/07,24,5,Coding,3,Assignment Completed,TRUE,2.3
SESSION01868,Undergraduate,Computer Science,2024/09/09,23,7,Homework Help,3,Assignment Completed,TRUE,3.7
SESSION01869,Graduate,Math,2024/09/10,4,1,Studying,2,Confused,FALSE,2.4
SESSION01870,Graduate,Computer Science,2024/12/17,27,10,Writing,5,Idea Drafted,FALSE,4.6
SESSION01871,High School,Math,2024/09/22,17,3,Coding,4,Assignment Completed,TRUE,4.4
SESSION01872,High School,Psychology,2024/07/28,19,5,Writing,2,Idea Drafted,TRUE,3.6
SESSION01873,Undergraduate,Business,2025/06/22,35,7,Studying,4,Assignment Completed,FALSE,3.4
SESSION01874,Undergraduate,Biology,2024/08/14,21,7,Writing,2,Assignment Completed,TRUE,1.4
SESSION01875,High School,Computer Science,2025/06/20,15,4,Coding,2,Assignment Completed,TRUE,1.3
SESSION01876,High School,Biology,2024/10/24,10,2,Coding,2,Assignment Completed,FALSE,3.1
SESSION01877,Undergraduate,Psychology,2024/11/09,19,8,Writing,4,Idea Drafted,TRUE,2.2
SESSION01878,High School,Math,2025/03/28,9,2,Writing,3,Assignment Completed,TRUE,3.9
